Rank,Player,Apps,Span[a],Teams[b],Apps,,,,,,,,,,,,,,,,,
,Alan Ball,,,Bristol Rovers,17,,,,,,,,,,,,,,,,,
24,David Seaman,"1,053+",1982?2004,Peterborough United,109,,,,,,,,,,,,,,,,,
,David Seaman,,,Birmingham City,84,,,,,,,,,,,,,,,,,
,David Seaman,,,Queens Park Rangers,175+,,,,,,,,,,,,,,,,,
,David Seaman,,,Arsenal,568,,,,,,,,,,,,,,,,,
,David Seaman,,,Manchester City,26,,,,,,,,,,,,,,,,,
25,Glenn Ferguson,"1,047",1987?2011,Ards,72,,,,,,,,,,,,,,,,,
,Glenn Ferguson,,,Glenavon,367,,,,,,,,,,,,,,,,,
,Glenn Ferguson,,,Linfield,519,,,,,,,,,,,,,,,,,
,Glenn Ferguson,,,Lisburn Distillery,82,,,,,,,,,,,,,,,,,
26,Frank Lampard,"1,046",1995?2016,West Ham United,187,,,,,,,,,,,,,,,,,
,Frank Lampard,,,Swansea City,11,,,,,,,,,,,,,,,,,
,Frank Lampard,,,Chelsea,648,,,,,,,,,,,,,,,,,
,Frank Lampard,,,Manchester City,38,,,,,,,,,,,,,,,,,
,Frank Lampard,,,New York City,31,,,,,,,,,,,,,,,,,
27,Paolo Maldini,"1,044",1985?2009,Milan AC,902,,,,,,,,,,,,,,,,,
,Ryan Giggs,"1,044",1989?2014,Manchester United,963,,,,,,,,,,,,,,,,,
,AndrÇs Iniesta,,,Barcelona,679,,,,,,,,,,,,,,,,,
,AndrÇs Iniesta,,,Vissel Kobe,123,,,,,,,,,,,,,,,,,
30,Kazuyoshi Miura,"1,031+",1985?,Juventus-SP,?,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Santos,43+,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Palmeiras,25+,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Matsubara,6+,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Clube de Regatas Brasil,4,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,XV de Ja£,27+,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Coritiba,59,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Verdy Kawasaki,253,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Genoa,23,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Croatia Zagreb,12,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Kyoto Purple Sanga,51,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Vissel Kobe,127,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Yokohama FC,298,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Sydney FC,6,,,,,,,,,,,,,,,,,
,Kazuyoshi Miura,,,Suzuka Point Getters,6,,,,,,,,,,,,,,,,,
,Lionel Messi,,,Barcelona,778,,,,,,,,,,,,,,,,,
